2024-11-19 02:50:29.880 GMT,,,1,,673bfcf5.1,1,,2024-11-19 02:50:29 GMT,,0,LOG,00000,"starting PostgreSQL 17.1 (Debian 17.1-1.pgdg120+1) on x86_64-pc-linux-gnu, compiled by gcc (Debian 12.2.0-14) 12.2.0, 64-bit",,,,,,,,"PostmasterMain, postmaster.c:1080","","postmaster",,0
2024-11-19 02:50:29.881 GMT,,,1,,673bfcf5.1,2,,2024-11-19 02:50:29 GMT,,0,LOG,00000,"listening on IPv4 address ""0.0.0.0"", port 5432",,,,,,,,"ListenServerPort, pqcomm.c:661","","postmaster",,0
2024-11-19 02:50:29.881 GMT,,,1,,673bfcf5.1,3,,2024-11-19 02:50:29 GMT,,0,LOG,00000,"listening on IPv6 address ""::"", port 5432",,,,,,,,"ListenServerPort, pqcomm.c:661","","postmaster",,0
2024-11-19 02:50:29.892 GMT,,,1,,673bfcf5.1,4,,2024-11-19 02:50:29 GMT,,0,LOG,00000,"listening on Unix socket ""/var/run/postgresql/.s.PGSQL.5432""",,,,,,,,"ListenServerPort, pqcomm.c:657","","postmaster",,0
2024-11-19 02:50:29.947 GMT,,,30,,673bfcf5.1e,1,,2024-11-19 02:50:29 GMT,,0,LOG,00000,"database system was shut down at 2024-11-19 02:50:01 GMT",,,,,,,,"StartupXLOG, xlog.c:5445","","startup",,0
2024-11-19 02:50:30.034 GMT,,,1,,673bfcf5.1,5,,2024-11-19 02:50:29 GMT,,0,LOG,00000,"database system is ready to accept connections",,,,,,,,"process_pm_child_exit, postmaster.c:2483","","postmaster",,0
2024-11-19 02:55:30.018 GMT,,,28,,673bfcf5.1c,1,,2024-11-19 02:50:29 GMT,,0,LOG,00000,"checkpoint starting: time",,,,,,,,"LogCheckpointStart, xlog.c:6661","","checkpointer",,0
2024-11-19 02:55:30.217 GMT,,,28,,673bfcf5.1c,2,,2024-11-19 02:50:29 GMT,,0,LOG,00000,"checkpoint complete: wrote 3 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=0.070 s, sync=0.025 s, total=0.200 s; sync files=2, longest=0.013 s, average=0.013 s; distance=0 kB, estimate=0 kB; lsn=0/51B1800, redo lsn=0/51B17A8",,,,,,,,"LogCheckpointEnd, xlog.c:6750","","checkpointer",,0
2024-11-19 03:03:13.789 GMT,"postgres","orders",72,"172.18.0.5:37446",673bfff1.48,1,"idle",2024-11-19 03:03:13 GMT,0/2,0,LOG,00000,"statement: BEGIN",,,,,,,,"exec_simple_query, postgres.c:1075","","client backend",,0
2024-11-19 03:03:13.792 GMT,"postgres","orders",72,"172.18.0.5:37446",673bfff1.48,2,"BEGIN",2024-11-19 03:03:13 GMT,0/2,0,LOG,00000,"duration: 4.152 ms",,,,,,,,"exec_simple_query, postgres.c:1368","","client backend",,0
2024-11-19 03:03:13.951 GMT,"postgres","orders",72,"172.18.0.5:37446",673bfff1.48,3,"PARSE",2024-11-19 03:03:13 GMT,0/2,0,LOG,00000,"duration: 86.529 ms  parse s0: INSERT INTO ""public"".""orders"" (""userId"",""totalAmount"",""status"",""createdAt"",""updatedAt"") VALUES ($1,$2,$3,$4,$5) RETURNING ""public"".""orders"".""id""",,,,,,,,"exec_parse_message, postgres.c:1609","","client backend",,0
2024-11-19 03:03:13.971 GMT,"postgres","orders",72,"172.18.0.5:37446",673bfff1.48,4,"BIND",2024-11-19 03:03:13 GMT,0/2,0,LOG,00000,"duration: 8.849 ms  bind s0: INSERT INTO ""public"".""orders"" (""userId"",""totalAmount"",""status"",""createdAt"",""updatedAt"") VALUES ($1,$2,$3,$4,$5) RETURNING ""public"".""orders"".""id""","Parameters: $1 = '4', $2 = '19.99', $3 = 'pendiente', $4 = '2024-11-19 03:03:13.72', $5 = '2024-11-19 03:03:13.72'",,,,,,,"exec_bind_message, postgres.c:2075","","client backend",,0
